slug,ws_s,outcome_truth,current_px,trend_align,v_trend,v_levels,v_momentum,p_up_levels,score_momentum,mom_imb_l5,mom_cvd_norm,mom_aggressor,bb_position,rsi14,fired,skip_reason,direction,stake_usd,vwap_entry,shares,hit_levels,underfilled,won,pnl_usd,balance_cum_usd
btc-updown-5m-1776994800,1776994500,Down,78022.27,0,0,0,0,0.49986815750107283,-0.014929314440059014,-0.03732328610014753,0.0,0.0,no_data,,False,abstention_3,,,,,,,,,
btc-updown-5m-1776995100,1776994800,Up,78130.64,0,0,1,0,0.7739679225585707,0.0428475768793035,0.10711894219825875,0.0,0.0,no_data,,False,abstention_2,,,,,,,,,
btc-updown-5m-1776995400,1776995100,Up,78114.0,0,0,-1,0,0.3138079663294593,0.06886531782318121,0.172163294557953,0.0,0.0,no_data,,False,abstention_2,,,,,,,,,
btc-updown-5m-1776995700,1776995400,Up,78422.83,0,0,1,0,0.6566619250829043,-0.1214562254017466,-0.30364056350436647,0.0,0.0,no_data,,False,abstention_2,,,,,,,,,
btc-updown-5m-1776996000,1776995700,Up,78411.48,0,0,1,0,0.8719298245614762,-0.08269233601078056,-0.20673084002695138,0.0,0.0,no_data,,False,abstention_2,,,,,,,,,
btc-updown-5m-1776999300,1776999000,Down,78286.01,1,1,-1,0,0.28939239270341544,0.04326562784576854,0.10816406961442135,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
btc-updown-5m-1776999600,1776999300,Up,78111.97,1,1,-1,0,0.31792550898811156,0.047845672262344,0.11961418065585999,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
btc-updown-5m-1776999900,1776999600,Up,78142.09,1,1,1,0,0.6870361582993241,0.026423704859202347,0.06605926214800587,0.0,0.0,no_data,,True,,Up,25.0,0.35,71.42857142857143,1.0,False,True,45.5,45.5
btc-updown-5m-1777000200,1776999900,Down,78108.56,1,1,0,0,0.4318241347053495,0.0584693559435895,0.14617338985897374,0.0,0.0,no_data,,False,abstention_2,,,,,,,,,
btc-updown-5m-1777000500,1777000200,Down,78113.2,1,1,0,0,0.4179345182413662,0.09290182127132064,0.2322545531783016,0.0,0.0,no_data,,False,abstention_2,,,,,,,,,
btc-updown-5m-1777000800,1777000500,Down,78064.01,1,1,0,0,0.5651824134705593,0.06169547908363121,0.15423869770907803,0.0,0.0,no_data,,False,abstention_2,,,,,,,,,
btc-updown-5m-1777001100,1777000800,Up,78010.96,1,1,1,0,0.7239850327408706,0.08559279260345007,0.21398198150862516,0.0,0.0,no_data,,True,,Up,25.0,0.9,27.77777777777778,1.0,False,True,2.722222222222223,48.22222222222222
btc-updown-5m-1777001400,1777001100,Down,77815.23,1,1,0,0,0.6074132195091385,-0.10255767944788535,-0.25639419861971335,0.0,0.0,no_data,,False,abstention_2,,,,,,,,,
btc-updown-5m-1777001700,1777001400,Up,77666.89,1,1,0,0,0.4509738969126813,0.09317522862438474,0.23293807156096183,0.0,0.0,no_data,,False,abstention_2,,,,,,,,,
btc-updown-5m-1777002000,1777001700,Down,77678.3,0,0,0,0,0.3904995362395486,-0.12792877596941024,-0.3198219399235256,0.0,0.0,no_data,,False,abstention_3,,,,,,,,,
btc-updown-5m-1777002300,1777002000,Up,77610.57,0,0,1,0,0.7494766132237536,-0.1288326331041696,-0.322081582760424,0.0,0.0,no_data,,False,abstention_2,,,,,,,,,
btc-updown-5m-1777002600,1777002300,Up,77645.98,0,0,0,0,0.5617993904863035,0.011966858797159467,0.029917146992898665,0.0,0.0,no_data,,False,abstention_3,,,,,,,,,
btc-updown-5m-1777002900,1777002600,Up,77734.21,0,0,1,0,0.7091268595819384,0.02344867783744558,0.058621694593613945,0.0,0.0,no_data,,False,abstention_2,,,,,,,,,
btc-updown-5m-1777003200,1777002900,Down,77718.52,0,0,-1,0,0.17732873989662795,-0.10226294550861437,-0.2556573637715359,0.0,0.0,no_data,,False,abstention_2,,,,,,,,,
btc-updown-5m-1777003500,1777003200,Up,77703.99,0,0,-1,0,0.2543394726381073,-0.08689535466256204,-0.2172383866564051,0.0,0.0,no_data,,False,abstention_2,,,,,,,,,
btc-updown-5m-1777003800,1777003500,Up,77690.0,0,0,-1,-1,0.3284881409831717,-0.1517732560813484,-0.37943314020337093,0.0,0.0,no_data,,True,,Down,25.0,0.49,51.02040816326531,1.0,False,False,-25.0,23.22222222222222
btc-updown-5m-1777004100,1777003800,Up,77686.07,0,0,-1,0,0.34931760964617925,0.10242381179010647,0.25605952947526617,0.0,0.0,no_data,,False,abstention_2,,,,,,,,,
